SSN,Public,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Mo,Ba,La,Ce,Pr,Nd,Sm,Hf,Ta,W,Hg,Pb,Bi,Th
icr006102,True,22165.8,5575.0,41730.7,63.4,45.7,148.3,21523.9,19729.1,4.4,2139.6,36.8,37.5,381.2,27429.3,0.7,9.6,11.6,28.3,13.9,0.3,883.7,0.2,76.9,338.9,9.2,27.5,184.5,2828.6,835.2,73.0,1.3,9.0,21.4,1.9,3.5,1.4,2.8,12.6,0.1,19.4
icr006121,True,24718.0,5575.0,38149.2,50.6,45.7,164.4,17013.8,15361.3,4.4,1369.1,22.4,19.4,219.0,14034.8,0.7,4.2,5.4,17.7,13.2,0.3,886.3,0.2,46.1,407.7,4.7,24.7,184.5,3624.3,384.4,40.2,1.5,10.6,8.4,2.2,2.4,0.2,0.5,11.4,0.1,3.0
icr006122,True,22342.9,5575.0,32059.8,50.6,45.7,134.7,15405.6,13097.7,4.4,1477.7,25.2,21.3,209.6,15682.7,0.7,5.1,5.9,20.1,14.5,0.3,885.0,0.2,51.9,400.7,4.5,22.5,184.5,2946.0,478.5,50.2,1.3,7.4,10.8,2.8,2.2,0.2,0.4,14.0,0.1,4.1
icr006142,True,19561.3,5679.6,33565.6,50.6,45.7,256.0,16200.1,18962.3,4.4,2070.9,35.3,31.0,365.8,19424.1,0.7,13.0,9.0,31.0,10.7,0.3,884.3,0.2,47.4,319.0,4.6,24.7,184.5,2311.8,584.9,48.2,0.7,8.5,12.0,0.3,2.5,0.2,2.1,7.1,0.1,9.2
icr006143,True,18915.5,8052.8,38090.8,61.2,45.7,215.7,17006.5,18929.9,4.4,2184.6,30.0,36.3,409.3,21157.6,0.7,15.5,11.0,33.0,11.6,0.3,883.0,0.2,52.4,318.4,5.3,24.7,184.5,3349.0,600.1,35.3,1.3,8.2,14.4,0.2,2.5,0.3,2.6,2.7,0.1,11.7
icr006152,True,19546.1,5770.4,34554.5,50.6,45.7,287.8,18757.8,21282.9,4.4,2051.3,34.5,44.5,343.7,21223.6,0.7,7.3,9.8,30.6,12.5,0.3,882.4,0.2,57.6,315.5,6.5,24.7,184.5,3725.4,565.1,27.3,1.6,5.8,15.3,0.7,3.0,0.3,2.3,3.6,0.1,9.7
icr006153,True,19959.6,8761.7,36404.7,119.5,45.7,315.1,18179.1,18331.5,4.4,2096.9,32.5,40.4,297.3,21892.4,0.7,7.7,10.2,31.8,12.6,0.3,881.1,0.2,61.9,275.3,7.1,31.1,184.5,3521.1,597.1,25.7,1.7,4.4,16.9,0.6,2.7,0.3,2.0,4.0,0.1,10.5
icr006164,True,19880.8,8026.4,43624.9,50.6,45.7,382.7,17337.8,30984.8,4.4,2411.3,37.5,33.1,506.1,26670.2,0.7,6.6,9.9,41.1,13.9,0.3,885.6,0.2,60.0,416.2,9.6,24.7,184.5,3408.8,693.0,44.2,1.5,8.9,19.3,0.9,3.2,0.2,5.7,8.0,0.1,16.6
icr006165,True,20300.9,9006.5,41119.2,145.8,45.7,393.8,15622.4,28722.7,4.4,2535.3,42.2,33.3,480.4,28173.2,0.7,6.7,9.0,41.2,14.3,0.3,878.5,0.2,60.5,425.6,8.5,24.7,184.5,3090.7,784.3,44.7,1.3,9.0,22.5,0.3,3.4,0.2,5.4,9.0,0.1,20.5
icr006179,True,17074.8,49346.9,37627.5,267.1,45.7,429.0,24340.7,32746.3,4.4,2141.5,57.5,526.9,727.7,36647.8,0.7,97.1,14.5,43.9,11.4,0.3,881.1,0.2,108.5,406.6,7.4,28.6,184.5,3202.1,1012.3,41.3,1.0,28.1,20.8,0.2,1.1,3.6,8.0,10.0,0.1,36.7
icr006180,True,17660.6,61892.3,40269.5,209.8,45.7,422.8,25270.8,34935.0,4.4,2253.7,60.6,555.8,747.3,39244.1,0.7,102.9,23.5,46.3,11.6,0.3,884.3,0.2,118.7,414.6,8.6,44.5,184.5,3340.5,1061.2,40.4,1.2,33.0,22.0,0.2,0.5,3.9,8.5,9.3,0.1,40.5
icr006454,True,17411.2,5575.0,23369.6,50.6,45.7,116.2,15926.0,4483.2,4.4,1353.9,10.0,41.5,201.0,11686.5,0.7,17.9,9.8,20.3,5.4,0.3,881.1,1.2,43.6,100.8,3.3,24.7,184.5,1153.6,351.9,26.8,0.7,7.0,6.9,0.2,1.9,0.2,0.2,4.4,0.1,2.1
icr006455,True,16567.7,4032.6,28741.7,50.6,45.7,200.7,20421.4,9015.5,4.4,1863.4,11.4,65.9,256.6,15915.4,0.7,25.1,12.4,26.6,7.8,0.3,879.8,3.8,57.6,128.2,4.1,24.7,184.5,1464.8,477.3,32.4,0.8,8.1,9.5,0.4,1.7,0.9,0.3,8.8,0.1,5.3
icr006474,True,21736.7,5575.0,24137.4,50.6,45.7,117.7,12817.2,899.8,4.4,1233.5,14.3,57.9,79.2,8879.9,0.7,10.2,9.3,14.4,5.9,0.3,884.3,1.2,36.5,53.5,3.2,24.7,184.5,1644.2,289.1,14.9,0.8,3.7,5.7,0.7,1.5,0.3,0.2,8.3,0.1,2.4
icr006475,True,23219.4,5575.0,31450.0,50.6,45.7,210.2,12991.3,944.1,4.4,1769.1,16.7,74.4,81.9,12501.3,0.7,14.6,13.0,22.0,8.5,0.3,883.7,2.2,44.4,53.9,4.4,24.7,184.5,1482.1,418.2,22.5,0.9,3.7,8.4,0.4,2.1,0.4,0.2,9.1,0.1,2.9
icr006492,True,19660.2,5575.0,35632.9,50.6,45.7,103.3,22145.6,7651.7,4.4,1474.7,20.4,65.3,193.8,14894.0,0.7,19.8,14.4,21.6,10.1,0.3,883.7,0.8,62.2,202.9,5.8,24.7,184.5,3295.5,456.3,32.9,1.1,8.7,8.5,2.0,1.8,1.3,0.2,12.4,0.1,4.0
icr006493,True,18326.0,5575.0,38855.5,50.6,45.7,172.1,20828.8,6770.2,4.4,1708.3,24.8,70.0,199.1,17699.0,0.7,23.3,16.9,23.3,11.4,0.3,886.3,0.9,68.7,182.9,5.1,24.7,184.5,2979.2,561.7,45.1,1.1,10.9,11.9,1.1,2.1,1.4,0.2,8.6,0.1,6.9
icr006510,True,19134.2,5575.0,27115.5,50.6,45.7,466.2,11791.0,4386.9,4.4,1475.8,11.9,107.9,173.5,9902.1,0.7,30.9,9.4,17.3,7.0,0.3,883.0,0.9,32.8,93.1,3.5,24.7,184.5,2090.4,319.5,15.2,1.1,9.4,4.3,1.5,1.1,0.2,0.2,6.5,0.1,1.7
icr006511,True,20236.1,5575.0,31849.0,50.6,45.7,249.8,9932.7,2914.7,4.4,1635.5,12.1,111.3,114.5,12022.9,0.7,36.4,10.3,19.3,8.6,0.3,883.7,0.6,37.7,73.9,3.3,24.7,184.5,1604.1,399.9,17.6,0.8,8.9,6.6,0.3,1.4,0.2,0.2,4.6,0.1,2.8
icr006530,True,18174.9,5575.0,31044.5,50.6,45.7,158.3,9818.4,1482.6,4.4,2009.2,15.9,63.3,200.0,16239.2,0.7,27.5,16.5,18.5,7.7,0.3,883.7,1.2,42.4,47.7,3.8,24.7,184.5,1243.2,556.0,37.7,0.7,11.8,10.8,0.4,2.0,0.5,0.2,7.7,0.2,7.9
icr006531,True,21265.0,5575.0,42855.1,50.6,45.7,279.4,11487.8,1464.1,4.4,2653.2,21.6,87.2,234.1,22779.5,0.7,38.6,22.1,24.4,11.2,0.3,886.9,1.6,57.0,56.8,4.8,24.7,184.5,1759.5,799.0,48.9,0.8,9.0,15.5,0.3,2.9,1.1,0.2,9.6,0.1,14.5
icr006550,True,19227.4,5575.0,36823.9,50.6,45.7,139.7,14767.5,3053.0,4.4,2087.1,15.3,85.9,259.2,18081.0,0.7,34.5,15.6,28.6,8.4,0.3,881.1,1.8,58.4,64.5,5.2,24.7,184.5,1730.0,610.9,37.2,0.8,12.7,11.7,0.2,2.7,0.4,0.2,10.7,0.1,7.2
icr006551,True,19840.6,5575.0,37262.0,50.6,45.7,135.9,14415.1,3028.0,4.4,2234.9,17.2,92.8,258.2,19464.1,0.7,36.8,16.6,31.1,9.2,0.3,885.6,2.2,60.6,61.1,4.9,24.7,184.5,1562.3,646.5,42.5,0.7,11.8,12.8,0.2,2.7,0.3,0.2,6.7,0.1,8.7
icr006570,True,21362.1,5575.0,22707.1,50.6,45.7,122.5,12201.6,1790.1,4.4,1094.4,12.2,55.9,132.6,9135.1,0.7,15.5,7.7,13.4,4.4,0.3,884.3,0.9,30.1,68.7,2.9,24.7,184.5,2782.3,275.8,19.0,0.9,5.2,5.2,0.6,1.5,0.2,0.2,5.8,0.1,1.0
icr006571,True,20457.1,5575.0,28167.2,50.6,45.7,168.0,13012.3,2300.6,4.4,1689.5,15.3,65.4,173.2,13695.4,0.7,23.9,10.6,18.5,6.7,0.3,885.6,2.0,41.0,73.8,3.3,24.7,184.5,2193.4,443.4,28.6,0.9,6.4,7.9,0.6,2.0,0.3,0.2,8.8,0.1,3.4
icr006586,True,18947.6,5519.1,39203.4,50.6,45.7,152.6,15173.5,9301.0,4.4,2543.3,31.2,105.7,422.4,24094.6,0.7,44.5,18.4,38.5,12.1,0.3,886.9,0.9,56.9,163.0,5.9,24.7,184.5,1963.8,810.4,58.0,0.9,15.6,15.2,1.1,2.5,0.9,1.1,5.6,0.1,17.7
icr006587,True,16962.8,5891.8,43565.1,64.5,45.7,184.3,15931.6,6799.7,4.4,3091.2,36.0,133.3,480.0,29673.1,0.7,55.4,22.4,45.8,13.3,0.3,886.9,1.4,73.5,119.2,5.7,37.2,184.5,1611.6,1034.9,65.5,0.9,20.7,20.0,0.6,2.7,1.5,0.5,9.7,0.1,27.4
icr006606,True,20963.8,5575.0,25551.6,50.6,45.7,247.6,8627.1,1184.8,4.4,1495.4,10.5,49.4,79.2,9599.4,0.7,17.5,11.4,17.3,7.2,0.3,886.3,1.2,30.4,44.7,3.6,24.7,184.5,1242.2,321.2,18.7,0.7,5.2,5.7,1.0,1.4,0.3,0.2,4.1,0.1,1.6
icr006607,True,20829.6,5575.0,33110.1,50.6,45.7,245.8,7876.2,913.1,4.4,1812.2,13.4,54.8,54.4,11897.2,0.7,23.1,13.7,17.7,9.8,0.3,882.4,1.9,34.5,40.0,4.3,24.7,184.5,1034.3,409.9,21.4,0.7,1.9,7.4,0.6,1.3,0.3,0.2,5.6,0.1,2.8
icr006626,True,23625.9,5575.0,31013.5,50.6,45.7,149.2,16345.4,6723.5,4.4,1395.7,14.7,55.3,120.1,10916.5,0.7,13.5,7.6,16.4,8.0,0.3,887.6,0.3,30.6,234.8,3.6,24.7,184.5,4195.6,334.3,20.7,1.1,5.6,6.2,2.4,1.8,0.2,0.2,10.1,0.1,1.5
icr006627,True,19514.3,5575.0,37843.7,50.6,45.7,211.1,14464.6,5961.5,4.4,2115.7,18.9,60.8,135.7,15934.1,0.7,24.9,10.7,22.5,10.6,0.3,886.9,1.5,42.9,198.4,4.3,24.7,184.5,2557.6,555.9,30.6,1.0,7.9,10.7,1.1,2.3,0.4,0.2,7.9,0.1,5.8
icr006646,True,19764.8,5575.0,32791.3,50.6,45.7,206.2,13622.3,1214.1,4.4,1828.7,17.0,77.6,114.6,14657.9,0.7,23.8,14.0,19.7,8.4,0.3,885.6,1.9,44.1,66.7,3.9,24.7,184.5,1586.8,486.1,25.9,0.9,6.8,10.3,0.5,2.2,0.5,0.2,12.9,0.1,4.2
icr006647,True,20580.9,5575.0,35766.7,50.6,45.7,222.2,12815.1,1074.0,4.4,1919.0,18.8,82.2,112.6,16151.8,0.7,26.2,12.9,20.5,9.4,0.3,883.7,1.9,45.8,63.3,9.4,24.7,184.5,1829.6,523.2,28.5,0.9,4.0,10.8,0.5,2.1,0.5,0.2,15.6,0.1,4.9
icr006666,True,18055.9,5575.0,28331.7,50.6,45.7,190.5,7496.3,762.8,4.4,1755.0,18.9,81.7,112.8,15458.6,0.7,25.3,13.3,17.3,7.3,0.3,883.0,1.4,27.5,39.9,3.3,24.7,184.5,1314.8,512.1,28.4,0.7,7.1,11.1,0.3,2.2,0.3,0.2,9.1,0.1,5.7
icr006667,True,20196.5,5575.0,30638.8,50.6,45.7,191.7,7119.7,695.5,4.4,1898.3,20.0,89.7,124.5,16995.6,0.7,27.6,13.5,16.9,8.2,0.3,887.6,1.4,28.4,39.0,4.0,24.7,184.5,1216.9,572.2,29.9,0.6,7.7,12.5,0.3,2.3,0.3,0.2,4.9,0.1,7.4
icr006684,True,18336.9,5575.0,27170.2,50.6,45.7,187.6,9897.1,7565.2,4.4,1870.9,24.9,49.1,252.9,15419.0,0.7,16.9,11.9,17.4,7.6,0.3,887.6,0.2,28.0,135.7,5.1,24.7,184.5,1613.1,468.5,30.4,0.7,6.7,10.0,1.2,2.0,0.2,0.2,6.4,0.1,5.3
icr006685,True,20863.3,5575.0,30852.0,50.6,45.7,210.3,10149.2,7862.1,4.4,2063.1,31.1,64.2,280.3,20807.8,0.7,23.2,15.6,21.0,9.1,0.3,885.6,0.2,35.4,129.6,4.8,24.7,184.5,2003.9,646.3,33.0,0.8,9.4,14.9,0.7,2.2,0.2,0.3,1.2,0.1,10.1
icr006704,True,20406.9,5575.0,33456.9,50.6,45.7,122.5,14261.7,7644.6,4.4,1917.1,17.8,54.9,256.6,16781.3,0.7,18.7,11.2,22.1,10.9,0.3,886.9,0.2,38.0,281.3,6.9,34.0,184.5,1854.7,552.0,52.1,0.7,8.1,10.1,5.4,2.7,0.2,0.4,11.0,0.1,9.2
icr006705,True,19252.4,5575.0,37648.4,50.6,45.7,128.6,12276.8,6175.0,4.4,2515.0,23.1,64.0,249.2,22741.4,0.7,25.0,13.1,27.2,12.4,0.3,883.7,0.3,49.7,235.6,7.9,78.4,184.5,1630.6,826.9,70.7,0.7,10.7,15.8,6.2,3.2,0.3,0.2,6.1,0.1,14.0
icr006724,True,19755.3,5575.0,27344.5,50.6,45.7,221.9,8381.2,997.1,4.4,1859.0,12.8,92.0,89.7,11255.0,0.7,27.9,13.0,15.0,8.2,0.3,881.7,2.0,30.2,47.0,3.4,24.7,184.5,1312.5,389.7,19.0,0.7,4.7,6.4,1.1,1.3,0.3,0.2,4.1,0.1,2.0
icr006725,True,20810.1,5575.0,34103.0,50.6,45.7,279.8,8137.6,912.9,4.4,2174.8,13.8,91.9,81.0,12877.7,0.7,36.7,15.0,17.2,10.4,0.3,884.3,1.9,34.8,47.4,4.1,24.7,184.5,1374.1,450.9,20.0,0.6,4.5,7.4,1.3,1.3,0.4,0.2,6.4,0.1,3.0
icr006744,True,22314.1,5575.0,28276.6,50.6,45.7,97.4,28079.2,4344.6,4.4,813.7,10.1,42.7,83.0,6075.6,0.7,10.5,3.8,9.7,8.3,0.3,886.9,0.2,61.8,180.5,2.2,24.7,184.5,4255.9,157.6,10.1,0.7,3.2,1.8,1.9,1.1,0.4,0.2,20.7,0.1,0.4
icr006745,True,21990.6,5575.0,29062.3,50.6,45.7,100.8,26626.5,3580.3,4.4,935.1,11.1,48.4,49.5,7165.1,0.7,13.3,4.4,11.5,8.9,0.3,883.7,0.8,64.8,160.0,1.8,24.7,184.5,3906.6,189.9,10.0,0.7,2.6,2.8,1.5,1.4,0.5,0.2,19.2,0.1,0.8
icr007730,True,17965.0,5575.0,48502.7,50.6,45.7,101.7,24523.2,3737.1,4.4,2460.9,23.5,47.3,256.0,20145.3,0.7,23.8,9.2,19.8,11.2,0.3,883.0,7.2,78.4,165.8,7.5,24.7,184.5,3434.9,608.3,72.5,0.8,6.9,11.8,4.4,3.2,1.4,0.2,21.5,0.1,7.6
icr007731,True,16327.5,5575.0,47428.4,50.6,45.7,156.4,19363.8,2645.7,4.4,2360.3,19.4,48.6,186.5,21055.0,0.7,26.7,8.6,19.3,12.0,0.3,883.7,4.9,74.8,123.4,8.4,24.7,184.5,2669.3,611.0,59.4,0.7,10.0,14.2,4.3,2.5,1.1,0.2,20.1,0.1,9.0
icr007750,True,22753.5,5575.0,38567.5,50.6,45.7,147.4,18140.9,9034.5,4.4,1502.6,14.4,13.0,262.6,10255.0,0.7,6.5,7.3,14.5,9.1,0.3,883.0,5.1,44.6,187.7,5.2,24.7,184.5,3295.4,252.1,35.5,1.2,7.6,3.7,3.9,2.1,0.2,0.4,20.3,0.1,2.7
icr007751,True,22914.1,5575.0,35828.2,50.6,45.7,85.2,16550.5,8382.5,4.4,1381.1,13.7,14.8,184.9,10282.6,0.7,6.6,7.2,13.3,9.4,0.3,885.0,6.2,41.7,177.0,4.6,24.7,184.5,2724.7,249.3,33.5,1.1,3.2,5.0,2.9,2.0,0.2,0.4,18.7,0.1,2.8
icr007770,True,21123.1,5575.0,33526.7,50.6,45.7,62.1,15423.0,7107.2,4.4,1136.9,12.0,13.8,77.2,7216.2,0.7,5.7,3.8,14.5,8.5,0.3,886.3,4.1,34.1,162.6,4.7,24.7,184.5,2904.2,193.7,23.7,0.8,3.9,2.8,2.4,1.5,0.2,0.2,19.0,0.1,2.8
icr007771,True,22212.0,5575.0,27858.1,50.6,45.7,55.6,13223.5,6162.1,4.4,843.6,7.2,10.4,35.0,5415.7,0.7,4.1,2.8,10.7,7.4,0.3,883.0,2.1,27.5,155.1,3.6,24.7,184.5,2522.8,126.1,13.6,0.8,3.3,1.8,2.3,1.0,0.2,0.2,15.3,0.1,1.9
icr007790,True,19506.1,5575.0,49357.2,50.6,45.7,94.4,19363.7,5398.2,4.4,2957.9,24.3,27.9,292.3,23459.5,0.7,16.8,15.1,31.2,11.7,0.3,885.0,10.1,81.8,137.9,7.1,23.0,184.5,2815.9,696.8,58.1,1.1,6.0,14.6,3.9,3.5,0.7,0.2,18.9,0.1,12.0
icr007791,True,18406.9,5575.0,54317.0,50.6,45.7,147.2,18073.5,4660.3,4.4,3109.1,26.1,32.0,271.9,26968.8,0.7,20.0,16.6,36.0,12.5,0.3,886.9,9.7,89.8,122.9,7.4,24.7,184.5,2604.7,812.8,65.8,0.8,6.8,18.4,2.1,4.0,0.6,0.2,22.2,0.1,16.9
icr007810,True,19120.0,5575.0,63019.8,50.6,45.7,91.4,21267.4,7704.9,4.4,2795.8,33.4,56.3,249.6,27586.3,0.7,25.3,15.1,33.3,15.7,0.3,886.3,11.3,105.3,150.9,9.1,24.7,184.5,3095.6,816.0,83.3,0.8,5.3,18.5,2.4,3.8,1.8,0.4,26.6,0.1,18.0
icr007811,True,15848.8,5575.0,62932.8,47.1,45.7,103.1,17921.3,4902.0,4.4,2839.2,33.2,63.4,184.3,29622.7,0.7,29.4,14.3,31.2,16.7,0.3,877.8,13.9,104.6,114.2,6.8,24.7,184.5,3054.2,874.4,79.1,0.7,6.1,21.0,1.3,3.4,0.8,0.2,26.2,0.1,19.8
icr007830,True,18451.9,5575.0,53688.2,50.6,45.7,73.3,6854.8,11251.6,4.4,4127.4,30.3,26.1,171.0,25677.8,0.7,16.4,10.3,20.2,15.2,0.3,878.5,17.8,47.8,178.6,8.0,39.9,184.5,861.5,838.0,70.3,1.0,5.1,17.1,4.7,3.1,0.2,1.7,11.1,0.4,18.4
icr007831,True,19836.8,5575.0,59886.4,56.3,45.7,103.6,6745.5,9868.7,4.4,4055.0,37.1,30.8,132.8,30096.8,0.7,21.4,11.6,23.2,17.9,0.3,886.9,27.7,54.0,166.7,8.9,32.4,184.5,1235.6,995.4,81.2,1.2,10.4,22.2,3.3,2.9,0.2,1.1,14.0,0.4,24.7
icr007850,True,20582.6,5575.0,26507.4,50.6,45.7,100.2,22077.9,4913.2,4.4,911.2,4.3,3.0,48.6,3612.4,0.7,1.0,2.0,11.1,5.9,0.3,885.0,0.8,45.7,160.6,2.3,24.7,184.5,3021.3,84.5,9.7,0.8,2.7,0.9,4.6,1.0,0.2,0.2,18.6,0.2,1.7
icr007851,True,22347.1,5575.0,25646.3,50.6,45.7,97.1,21832.9,4746.0,4.4,878.8,5.5,2.0,35.1,3729.5,0.7,1.1,1.8,10.2,6.0,0.3,882.4,0.9,47.3,160.8,2.1,24.7,184.5,3002.6,90.4,10.0,0.6,1.7,0.7,4.7,1.0,0.2,0.2,18.4,0.1,1.8
icr007870,True,21798.7,5575.0,17172.8,50.6,45.7,138.1,10740.0,3441.2,4.4,875.7,3.7,6.6,39.1,3335.8,0.7,2.1,2.5,10.5,3.9,0.3,882.4,1.2,20.4,97.7,0.8,24.7,184.5,1650.7,64.6,6.0,0.7,1.2,0.9,3.4,0.5,0.2,0.2,9.7,0.2,1.5
icr007871,True,22728.3,5575.0,19412.1,49.8,45.7,147.8,11242.3,3319.6,4.4,1012.7,4.8,10.2,29.8,4230.4,0.7,2.2,3.3,11.3,4.3,0.3,881.7,1.3,23.7,97.0,1.2,24.7,184.5,1674.1,84.1,5.6,0.7,1.5,1.0,3.6,0.7,0.2,0.2,9.8,0.2,2.0
icr007890,True,20142.7,5575.0,57530.8,70.7,45.7,136.4,8388.3,7484.9,4.4,3218.8,37.8,52.1,367.9,29549.6,0.7,25.4,16.2,32.0,15.7,0.3,885.0,9.5,55.8,159.3,8.6,24.7,184.5,2119.7,925.1,74.5,1.1,14.8,21.1,0.7,2.9,0.2,0.5,20.0,0.1,19.6
icr007891,True,15978.3,5575.0,59411.0,72.1,45.7,128.1,8443.4,8456.5,4.4,3344.2,44.1,50.1,470.1,32684.4,0.7,25.7,18.0,34.1,16.1,0.3,883.0,11.2,60.0,179.7,9.5,31.2,184.5,2250.1,1018.0,86.2,0.8,10.5,24.7,0.9,3.2,0.2,1.0,23.4,0.1,26.1
