Cluster,Country,Cultivated,Depth,Gid,Latitude,Longitude,Plot,Region,SSN,Sampling date,Scientist,Site,Soil material
15.0,Tanzania,False,top,12.0,-6.88443995,36.16698837,2.0,East Africa,icr006164,,Tor Gunnar Vagen,Chinyanghuku,Chi.15.2.Topsoil.Std fine soil
1.0,Tanzania,True,top,13.0,-11.12269974,35.12689972,1.0,East Africa,icr009918,,Leigh Winoweicki,Mbinga,Mbi.1.1.Topsoil.Std fine soil
2.0,Tanzania,True,top,14.0,-11.09962845,35.13019943,1.0,East Africa,icr009938,,Leigh Winoweicki,Mbinga,Mbi.2.1.Topsoil.Std fine soil
3.0,Tanzania,True,top,15.0,-11.07450008,35.12540054,1.0,East Africa,icr009958,,Leigh Winoweicki,Mbinga,Mbi.3.1.Topsoil.Std fine soil
4.0,Tanzania,False,top,16.0,-11.05970001,35.12659836,1.0,East Africa,icr009978,,Leigh Winoweicki,Mbinga,Mbi.4.1.Topsoil.Std fine soil
5.0,Tanzania,False,top,17.0,-11.12320042,35.14569855,1.0,East Africa,icr009998,,Leigh Winoweicki,Mbinga,Mbi.5.1.Topsoil.Std fine soil
6.0,Tanzania,False,top,18.0,-11.10610008,35.14979935,1.0,East Africa,icr010018,,Leigh Winoweicki,Mbinga,Mbi.6.1.Topsoil.Std fine soil
7.0,Tanzania,False,top,19.0,-11.07940006,35.15179825,1.0,East Africa,icr010038,,Leigh Winoweicki,Mbinga,Mbi.7.1.Topsoil.Std fine soil
8.0,Tanzania,False,top,20.0,-11.05710316,35.15173721,1.0,East Africa,icr010058,,Leigh Winoweicki,Mbinga,Mbi.8.1.Topsoil.Std fine soil
9.0,Tanzania,False,top,21.0,-11.11730003,35.17409897,1.0,East Africa,icr010078,,Leigh Winoweicki,Mbinga,Mbi.9.1.Topsoil.Std fine soil
10.0,Tanzania,True,top,22.0,-11.10509968,35.17229843,1.0,East Africa,icr010098,,Leigh Winoweicki,Mbinga,Mbi.10.1.Topsoil.Std fine soil
11.0,Tanzania,False,top,23.0,-11.07940006,35.16930008,1.0,East Africa,icr010118,,Leigh Winoweicki,Mbinga,Mbi.11.1.Topsoil.Std fine soil
12.0,Tanzania,False,top,24.0,-11.05809975,35.16949844,1.0,East Africa,icr010138,,Leigh Winoweicki,Mbinga,Mbi.12.1.Topsoil.Std fine soil
13.0,Tanzania,True,top,25.0,-11.12909985,35.20069885,1.0,East Africa,icr010158,,Leigh Winoweicki,Mbinga,Mbi.13.1.Topsoil.Std fine soil
14.0,Tanzania,False,top,26.0,-11.09879971,35.19520187,1.0,East Africa,icr010178,,Leigh Winoweicki,Mbinga,Mbi.14.1.Topsoil.Std fine soil
15.0,Tanzania,False,top,27.0,-11.08710003,35.19179916,1.0,East Africa,icr010198,,Leigh Winoweicki,Mbinga,Mbi.15.1.Topsoil.Std fine soil
16.0,Tanzania,False,top,28.0,-11.0614996,35.19319916,1.0,East Africa,icr010218,,Leigh Winoweicki,Mbinga,Mbi.16.1.Topsoil.Std fine soil
1.0,Tanzania,True,top,45.0,-3.06374502,33.01008606,1.0,East Africa,icr011824,,Leigh Winoweicki,Bukwaya,Buk.1.1.Topsoil.Std fine soil
2.0,Tanzania,False,top,46.0,-3.0296979,33.01520157,2.0,East Africa,icr011843,,Leigh Winoweicki,Bukwaya,Buk.2.2.Topsoil.Std fine soil
3.0,Tanzania,True,top,47.0,-3.00909805,33.01538086,1.0,East Africa,icr011863,,Leigh Winoweicki,Bukwaya,Buk.3.1.Topsoil.Std fine soil
4.0,Tanzania,False,top,48.0,-2.99281502,33.01611328,1.0,East Africa,icr011881,,Leigh Winoweicki,Bukwaya,Buk.4.1.Topsoil.Std fine soil
5.0,Tanzania,False,top,49.0,-3.06098199,33.03066254,1.0,East Africa,icr011901,,Leigh Winoweicki,Bukwaya,Buk.5.1.Topsoil.Std fine soil
6.0,Tanzania,True,top,50.0,-3.03815293,33.04239655,1.0,East Africa,icr011921,,Leigh Winoweicki,Bukwaya,Buk.6.1.Topsoil.Std fine soil
7.0,Tanzania,True,top,51.0,-3.00733495,33.04496384,1.0,East Africa,icr011941,,Leigh Winoweicki,Bukwaya,Buk.7.1.Topsoil.Std fine soil
8.0,Tanzania,False,top,52.0,-2.98746705,33.03326416,1.0,East Africa,icr011960,,Leigh Winoweicki,Bukwaya,Buk.8.1.Topsoil.Std fine soil
9.0,Tanzania,False,top,53.0,-3.05848002,33.06501389,3.0,East Africa,icr011978,,Leigh Winoweicki,Bukwaya,Buk.9.3.Topsoil.Std fine soil
10.0,Tanzania,True,top,54.0,-3.03098702,33.06267166,1.0,East Africa,icr011990,,Leigh Winoweicki,Bukwaya,Buk.10.1.Topsoil.Std fine soil
11.0,Tanzania,False,top,55.0,-3.01006794,33.06552124,1.0,East Africa,icr012008,,Leigh Winoweicki,Bukwaya,Buk.11.1.Topsoil.Std fine soil
12.0,Tanzania,True,top,56.0,-2.98789811,33.06058121,1.0,East Africa,icr012027,,Leigh Winoweicki,Bukwaya,Buk.12.1.Topsoil.Std fine soil
13.0,Tanzania,True,top,57.0,-3.06005502,33.08431244,1.0,East Africa,icr012043,,Leigh Winoweicki,Bukwaya,Buk.13.1.Topsoil.Std fine soil
14.0,Tanzania,True,top,58.0,-3.03619504,33.09140778,1.0,East Africa,icr012063,,Leigh Winoweicki,Bukwaya,Buk.14.1.Topsoil.Std fine soil
15.0,Tanzania,True,top,59.0,-3.0151,33.08854294,3.0,East Africa,icr012083,,Leigh Winoweicki,Bukwaya,Buk.15.3.Topsoil.Std fine soil
16.0,Tanzania,True,top,60.0,-2.99145794,33.07735062,1.0,East Africa,icr012087,,Leigh Winoweicki,Bukwaya,Buk.16.1.Topsoil.Std fine soil
5.0,Tanzania,,top,77.0,-6.93858,36.1244,1.0,,icr005998,,Tor Gunnar Vagen,Chinyanghuku,Chi.5.1.Topsoil.Std fine soil
3.0,Tanzania,False,sub,448.0,-6.88135815,34.17768097,1.0,East Africa,icr024900,,Tor Vagen,Itende,Itende_x000B_
12.0,Tanzania,False,top,110.0,-6.86209822,36.14105606,1.0,East Africa,icr006121,,Tor Gunnar Vagen,Chinyanghuku,Chi.12.1.Topsoil.Std fine soil
13.0,Tanzania,False,top,111.0,-6.92808008,36.16547012,5.0,East Africa,icr006142,,Tor Gunnar Vagen,Chinyanghuku,Chi.13.5.Topsoil.Std fine soil
16.0,Tanzania,False,top,112.0,-6.871339999999999,36.1579,1.0,East Africa,icr006179,,Tor Gunnar Vagen,Chinyanghuku,Chi.16.1.Topsoil.Std fine soil
1.0,Tanzania,True,sub,129.0,-6.93070316,36.09182358,1.0,East Africa,icr005929,,Tor Gunnar Vagen,Chinyanghuku,Chi.1.1.Subsoil.Std fine soil
2.0,Tanzania,True,sub,130.0,-6.90836716,36.08665466,1.0,East Africa,icr005947,,Tor Gunnar Vagen,Chinyanghuku,Chi.2.1.Subsoil.Std fine soil
3.0,Tanzania,False,sub,131.0,-6.88353014,36.0907402,1.0,East Africa,icr005966,,Tor Gunnar Vagen,Chinyanghuku,Chi.3.1.Subsoil.Std fine soil
4.0,Tanzania,False,sub,132.0,-6.86680222,36.09944916,2.0,East Africa,icr005986,,Tor Gunnar Vagen,Chinyanghuku,Chi.4.2.Subsoil.Std fine soil
6.0,Tanzania,False,sub,133.0,-6.91083193,36.11650848,1.0,East Africa,icr006016,,Tor Gunnar Vagen,Chinyanghuku,Chi.6.1.Subsoil.Std fine soil
7.0,Tanzania,True,sub,134.0,-6.88956308,36.12222672,1.0,East Africa,icr006036,,Tor Gunnar Vagen,Chinyanghuku,Chi.7.1.Subsoil.Std fine soil
8.0,Tanzania,False,sub,135.0,-6.86175203,36.11831284,1.0,East Africa,icr006056,,Tor Gunnar Vagen,Chinyanghuku,Chi.8.1.Subsoil.Std fine soil
9.0,Tanzania,False,sub,136.0,-6.93122,36.1357,5.0,East Africa,icr006077,,Tor Gunnar Vagen,Chinyanghuku,Chi.9.5.Subsoil.Std fine soil
11.0,Tanzania,False,sub,137.0,-6.88657,36.1374,1.0,East Africa,icr006102,,Tor Gunnar Vagen,Chinyanghuku,Chi.11.1.Subsoil.Std fine soil
14.0,Tanzania,False,sub,138.0,-6.90498781,36.16339493,3.0,East Africa,icr006153,,Tor Gunnar Vagen,Chinyanghuku,Chi.14.3.Subsoil.Std fine soil
15.0,Tanzania,False,sub,139.0,-6.88443995,36.16698837,2.0,East Africa,icr006165,,Tor Gunnar Vagen,Chinyanghuku,Chi.15.2.Subsoil.Std fine soil
1.0,Tanzania,True,top,140.0,-6.12600994,36.44020081,1.0,East Africa,icr006454,,Tor Gunnar Vagen,Pandambili,Pan.1.1.Topsoil.Std fine soil
1.0,Tanzania,True,sub,141.0,-6.12600994,36.44020081,1.0,East Africa,icr006455,,Tor Gunnar Vagen,Pandambili,Pan.1.1.Subsoil.Std fine soil
2.0,Tanzania,False,top,142.0,-6.08874989,36.43598175,1.0,East Africa,icr006474,,Tor Gunnar Vagen,Pandambili,Pan.2.1.Topsoil.Std fine soil
2.0,Tanzania,False,sub,143.0,-6.08874989,36.43598175,1.0,East Africa,icr006475,,Tor Gunnar Vagen,Pandambili,Pan.2.1.Subsoil.Std fine soil
3.0,Tanzania,False,top,144.0,-6.0639400000000006,36.4405,1.0,East Africa,icr006492,,Tor Gunnar Vagen,Pandambili,Pan.3.1.Topsoil.Std fine soil
4.0,Tanzania,False,top,145.0,-6.04692984,36.44385910000001,1.0,East Africa,icr006510,,Tor Gunnar Vagen,Pandambili,Pan.4.1.Topsoil.Std fine soil
4.0,Tanzania,False,sub,146.0,-6.04692984,36.44385910000001,1.0,East Africa,icr006511,,Tor Gunnar Vagen,Pandambili,Pan.4.1.Subsoil.Std fine soil
5.0,Tanzania,False,sub,147.0,-6.11749,36.4577,1.0,East Africa,icr006531,,Tor Gunnar Vagen,Pandambili,Pan.5.1.Subsoil.Std fine soil
6.0,Tanzania,False,top,148.0,-6.08820009,36.46326065,1.0,East Africa,icr006550,,Tor Gunnar Vagen,Pandambili,Pan.6.1.Topsoil.Std fine soil
6.0,Tanzania,False,sub,149.0,-6.08820009,36.46326065,1.0,East Africa,icr006551,,Tor Gunnar Vagen,Pandambili,Pan.6.1.Subsoil.Std fine soil
7.0,Tanzania,False,sub,150.0,-6.06997013,36.46458817,2.0,East Africa,icr006571,,Tor Gunnar Vagen,Pandambili,Pan.7.2.Subsoil.Std fine soil
8.0,Tanzania,False,top,151.0,-6.05574989,36.45772171,1.0,East Africa,icr006586,,Tor Gunnar Vagen,Pandambili,Pan.8.1.Topsoil.Std fine soil
8.0,Tanzania,False,sub,152.0,-6.05574989,36.45772171,1.0,East Africa,icr006587,,Tor Gunnar Vagen,Pandambili,Pan.8.1.Subsoil.Std fine soil
10.0,Tanzania,False,top,153.0,-6.09622,36.4863,1.0,East Africa,icr006626,,Tor Gunnar Vagen,Pandambili,Pan.10.1.Topsoil.Std fine soil
10.0,Tanzania,False,sub,154.0,-6.09622,36.4863,1.0,East Africa,icr006627,,Tor Gunnar Vagen,Pandambili,Pan.10.1.Subsoil.Std fine soil
11.0,Tanzania,False,top,155.0,-6.0698,36.4918,1.0,East Africa,icr006646,,Tor Gunnar Vagen,Pandambili,Pan.11.1.Topsoil.Std fine soil
11.0,Tanzania,False,sub,156.0,-6.0698,36.4918,1.0,East Africa,icr006647,,Tor Gunnar Vagen,Pandambili,Pan.11.1.Subsoil.Std fine soil
12.0,Tanzania,False,top,157.0,-6.05854988,36.49095154,1.0,East Africa,icr006666,,Tor Gunnar Vagen,Pandambili,Pan.12.1.Topsoil.Std fine soil
12.0,Tanzania,False,sub,158.0,-6.05854988,36.49095154,1.0,East Africa,icr006667,,Tor Gunnar Vagen,Pandambili,Pan.12.1.Subsoil.Std fine soil
13.0,Tanzania,False,top,159.0,-6.12214,36.5064,1.0,East Africa,icr006684,,Tor Gunnar Vagen,Pandambili,Pan.13.1.Topsoil.Std fine soil
14.0,Tanzania,False,top,160.0,-6.09060001,36.50844955,1.0,East Africa,icr006704,,Tor Gunnar Vagen,Pandambili,Pan.14.1.Topsoil.Std fine soil
15.0,Tanzania,False,top,161.0,-6.07987,36.5067,1.0,East Africa,icr006724,,Tor Gunnar Vagen,Pandambili,Pan.15.1.Topsoil.Std fine soil
15.0,Tanzania,False,sub,162.0,-6.07987,36.5067,1.0,East Africa,icr006725,,Tor Gunnar Vagen,Pandambili,Pan.15.1.Subsoil.Std fine soil
16.0,Tanzania,False,top,163.0,-6.053730000000002,36.5135,1.0,East Africa,icr006744,,Tor Gunnar Vagen,Pandambili,Pan.16.1.Topsoil.Std fine soil
16.0,Tanzania,False,sub,164.0,-6.053730000000002,36.5135,1.0,East Africa,icr006745,,Tor Gunnar Vagen,Pandambili,Pan.16.1.Subsoil.Std fine soil
1.0,Tanzania,False,top,165.0,-5.38104677,37.44506836,1.0,East Africa,icr007730,,Tor Gunnar Vagen,Kiberashi,Kib.1.1.Topsoil.Std fine soil
1.0,Tanzania,False,sub,166.0,-5.38104677,37.44506836,1.0,East Africa,icr007731,,Tor Gunnar Vagen,Kiberashi,Kib.1.1.Subsoil.Std fine soil
2.0,Tanzania,False,top,167.0,-5.35250807,37.44896698,1.0,East Africa,icr007750,,Tor Gunnar Vagen,Kiberashi,Kib.2.1.Topsoil.Std fine soil
2.0,Tanzania,False,sub,168.0,-5.35250807,37.44896698,1.0,East Africa,icr007751,,Tor Gunnar Vagen,Kiberashi,Kib.2.1.Subsoil.Std fine soil
3.0,Tanzania,False,top,169.0,-5.33404493,37.45391846,1.0,East Africa,icr007770,,Tor Gunnar Vagen,Kiberashi,Kib.3.1.Topsoil.Std fine soil
3.0,Tanzania,False,sub,170.0,-5.33404493,37.45391846,1.0,East Africa,icr007771,,Tor Gunnar Vagen,Kiberashi,Kib.3.1.Subsoil.Std fine soil
4.0,Tanzania,False,top,171.0,-5.31900215,37.45064163,1.0,East Africa,icr007790,,Tor Gunnar Vagen,Kiberashi,Kib.4.1.Topsoil.Std fine soil
4.0,Tanzania,False,sub,172.0,-5.31900215,37.45064163,1.0,East Africa,icr007791,,Tor Gunnar Vagen,Kiberashi,Kib.4.1.Subsoil.Std fine soil
5.0,Tanzania,True,top,173.0,-5.38245487,37.46924591,1.0,East Africa,icr007810,,Tor Gunnar Vagen,Kiberashi,Kib.5.1.Topsoil.Std fine soil
5.0,Tanzania,True,sub,174.0,-5.38245487,37.46924591,1.0,East Africa,icr007811,,Tor Gunnar Vagen,Kiberashi,Kib.5.1.Subsoil.Std fine soil
6.0,Tanzania,False,top,175.0,-5.35331202,37.46604919,1.0,East Africa,icr007830,,Tor Gunnar Vagen,Kiberashi,Kib.6.1.Topsoil.Std fine soil
6.0,Tanzania,False,sub,176.0,-5.35331202,37.46604919,1.0,East Africa,icr007831,,Tor Gunnar Vagen,Kiberashi,Kib.6.1.Subsoil.Std fine soil
9.0,Tanzania,False,top,177.0,-5.3817667999999985,37.49669647,1.0,East Africa,icr007890,,Tor Gunnar Vagen,Kiberashi,Kib.9.1.Topsoil.Std fine soil
9.0,Tanzania,False,sub,178.0,-5.3817667999999985,37.49669647,1.0,East Africa,icr007891,,Tor Gunnar Vagen,Kiberashi,Kib.9.1.Subsoil.Std fine soil
10.0,Tanzania,False,top,179.0,-5.36247683,37.49689102,1.0,East Africa,icr007910,,Tor Gunnar Vagen,Kiberashi,Kib.10.1.Topsoil.Std fine soil
11.0,Tanzania,True,sub,180.0,-5.33933687,37.49335098,1.0,East Africa,icr007929,,Tor Gunnar Vagen,Kiberashi,Kib.11.1.Subsoil.Std fine soil
12.0,Tanzania,False,top,181.0,-5.31183291,37.49250793,2.0,East Africa,icr007949,,Tor Gunnar Vagen,Kiberashi,Kib.12.2.Topsoil.Std fine soil
12.0,Tanzania,False,sub,182.0,-5.31183291,37.49250793,2.0,East Africa,icr007950,,Tor Gunnar Vagen,Kiberashi,Kib.12.2.Subsoil.Std fine soil
13.0,Tanzania,True,top,183.0,-5.37793303,37.51511383,1.0,East Africa,icr007967,,Tor Gunnar Vagen,Kiberashi,Kib.13.1.Topsoil.Std fine soil
13.0,Tanzania,True,sub,184.0,-5.37793303,37.51511383,1.0,East Africa,icr007968,,Tor Gunnar Vagen,Kiberashi,Kib.13.1.Subsoil.Std fine soil
14.0,Tanzania,True,top,185.0,-5.35679007,37.50985718,1.0,East Africa,icr007987,,Tor Gunnar Vagen,Kiberashi,Kib.14.1.Topsoil.Std fine soil
14.0,Tanzania,True,sub,186.0,-5.35679007,37.50985718,1.0,East Africa,icr007988,,Tor Gunnar Vagen,Kiberashi,Kib.14.1.Subsoil.Std fine soil
15.0,Tanzania,False,top,187.0,-5.33370018,37.51532745,1.0,East Africa,icr008007,,Tor Gunnar Vagen,Kiberashi,Kib.15.1.Topsoil.Std fine soil
15.0,Tanzania,False,sub,188.0,-5.33370018,37.51532745,1.0,East Africa,icr008008,,Tor Gunnar Vagen,Kiberashi,Kib.15.1.Subsoil.Std fine soil
1.0,Tanzania,True,sub,189.0,-11.12269974,35.12689972,1.0,East Africa,icr009919,,Leigh Winoweicki,Mbinga,Mbi.1.1.Subsoil.Std fine soil
2.0,Tanzania,True,sub,190.0,-11.09962845,35.13019943,1.0,East Africa,icr009939,,Leigh Winoweicki,Mbinga,Mbi.2.1.Subsoil.Std fine soil
3.0,Tanzania,True,sub,191.0,-11.07450008,35.12540054,1.0,East Africa,icr009959,,Leigh Winoweicki,Mbinga,Mbi.3.1.Subsoil.Std fine soil
4.0,Tanzania,False,sub,192.0,-11.05970001,35.12659836,1.0,East Africa,icr009979,,Leigh Winoweicki,Mbinga,Mbi.4.1.Subsoil.Std fine soil
5.0,Tanzania,False,sub,193.0,-11.12320042,35.14569855,1.0,East Africa,icr009999,,Leigh Winoweicki,Mbinga,Mbi.5.1.Subsoil.Std fine soil
6.0,Tanzania,False,sub,194.0,-11.10610008,35.14979935,1.0,East Africa,icr010019,,Leigh Winoweicki,Mbinga,Mbi.6.1.Subsoil.Std fine soil
7.0,Tanzania,False,sub,195.0,-11.07940006,35.15179825,1.0,East Africa,icr010039,,Leigh Winoweicki,Mbinga,Mbi.7.1.Subsoil.Std fine soil
8.0,Tanzania,False,sub,196.0,-11.05710316,35.15173721,1.0,East Africa,icr010059,,Leigh Winoweicki,Mbinga,Mbi.8.1.Subsoil.Std fine soil
9.0,Tanzania,False,sub,197.0,-11.11730003,35.17409897,1.0,East Africa,icr010079,,Leigh Winoweicki,Mbinga,Mbi.9.1.Subsoil.Std fine soil
10.0,Tanzania,True,sub,198.0,-11.10509968,35.17229843,1.0,East Africa,icr010099,,Leigh Winoweicki,Mbinga,Mbi.10.1.Subsoil.Std fine soil
11.0,Tanzania,False,sub,199.0,-11.07940006,35.16930008,1.0,East Africa,icr010119,,Leigh Winoweicki,Mbinga,Mbi.11.1.Subsoil.Std fine soil
12.0,Tanzania,False,sub,200.0,-11.05809975,35.16949844,1.0,East Africa,icr010139,,Leigh Winoweicki,Mbinga,Mbi.12.1.Subsoil.Std fine soil
13.0,Tanzania,True,sub,201.0,-11.12909985,35.20069885,1.0,East Africa,icr010159,,Leigh Winoweicki,Mbinga,Mbi.13.1.Subsoil.Std fine soil
14.0,Tanzania,False,sub,202.0,-11.09879971,35.19520187,1.0,East Africa,icr010179,,Leigh Winoweicki,Mbinga,Mbi.14.1.Subsoil.Std fine soil
15.0,Tanzania,False,sub,204.0,-11.08710003,35.19179916,1.0,East Africa,icr010199,,Leigh Winoweicki,Mbinga,Mbi.15.1.Subsoil.Std fine soil
16.0,Tanzania,False,sub,205.0,-11.0614996,35.19319916,1.0,East Africa,icr010219,,Leigh Winoweicki,Mbinga,Mbi.16.1.Subsoil.Std fine soil
1.0,Tanzania,True,sub,253.0,-3.06374502,33.01008606,1.0,East Africa,icr011825,,Leigh Winoweicki,Bukwaya,Buk.1.1.Subsoil.Std fine soil
2.0,Tanzania,False,sub,254.0,-3.0296979,33.01520157,2.0,East Africa,icr011844,,Leigh Winoweicki,Bukwaya,Buk.2.2.Subsoil.Std fine soil
3.0,Tanzania,True,sub,255.0,-3.00909805,33.01538086,1.0,East Africa,icr011864,,Leigh Winoweicki,Bukwaya,Buk.3.1.Subsoil.Std fine soil
4.0,Tanzania,False,sub,256.0,-2.99281502,33.01611328,1.0,East Africa,icr011882,,Leigh Winoweicki,Bukwaya,Buk.4.1.Subsoil.Std fine soil
5.0,Tanzania,False,sub,257.0,-3.06098199,33.03066254,1.0,East Africa,icr011902,,Leigh Winoweicki,Bukwaya,Buk.5.1.Subsoil.Std fine soil
6.0,Tanzania,True,sub,258.0,-3.03815293,33.04239655,1.0,East Africa,icr011922,,Leigh Winoweicki,Bukwaya,Buk.6.1.Subsoil.Std fine soil
7.0,Tanzania,True,sub,259.0,-3.00733495,33.04496384,1.0,East Africa,icr011942,,Leigh Winoweicki,Bukwaya,Buk.7.1.Subsoil.Std fine soil
8.0,Tanzania,False,sub,260.0,-2.98746705,33.03326416,1.0,East Africa,icr011961,,Leigh Winoweicki,Bukwaya,Buk.8.1.Subsoil.Std fine soil
9.0,Tanzania,False,sub,261.0,-3.05848002,33.06501389,3.0,East Africa,icr011979,,Leigh Winoweicki,Bukwaya,Buk.9.3.Subsoil.Std fine soil
10.0,Tanzania,True,sub,262.0,-3.03098702,33.06267166,1.0,East Africa,icr011991,,Leigh Winoweicki,Bukwaya,Buk.10.1.Subsoil.Std fine soil
11.0,Tanzania,False,sub,263.0,-3.01006794,33.06552124,1.0,East Africa,icr012009,,Leigh Winoweicki,Bukwaya,Buk.11.1.Subsoil.Std fine soil
12.0,Tanzania,True,sub,264.0,-2.98789811,33.06058121,1.0,East Africa,icr012028,,Leigh Winoweicki,Bukwaya,Buk.12.1.Subsoil.Std fine soil
13.0,Tanzania,True,sub,265.0,-3.06005502,33.08431244,1.0,East Africa,icr012044,,Leigh Winoweicki,Bukwaya,Buk.13.1.Subsoil.Std fine soil
14.0,Tanzania,True,sub,266.0,-3.03619504,33.09140778,1.0,East Africa,icr012064,,Leigh Winoweicki,Bukwaya,Buk.14.1.Subsoil.Std fine soil
15.0,Tanzania,True,sub,267.0,-3.0151,33.08854294,3.0,East Africa,icr012084,,Leigh Winoweicki,Bukwaya,Buk.15.3.Subsoil.Std fine soil
16.0,Tanzania,True,sub,268.0,-2.99145794,33.07735062,1.0,East Africa,icr012088,,Leigh Winoweicki,Bukwaya,Buk.16.1.Subsoil.Std fine soil
9.0,Tanzania,False,sub,460.0,-6.927495,34.22314835,5.0,East Africa,icr025010,,Tor Vagen,Itende,
1.0,Tanzania,False,top,349.0,-8.07403278,37.26938248,1.0,East Africa,icr020848,,Leigh Winoweicki,Kidatu,Kid.1.1.Topsoil.Std fine soil
1.0,Tanzania,False,sub,350.0,-8.07403278,37.26938248,1.0,East Africa,icr020849,,Leigh Winoweicki,Kidatu,Kid.1.1.Subsoil.Std fine soil
2.0,Tanzania,False,top,351.0,-8.04190826,37.27168274,1.0,East Africa,icr020868,,Leigh Winoweicki,Kidatu,Kid.2.1.Topsoil.Std fine soil
2.0,Tanzania,False,sub,352.0,-8.04190826,37.27168274,1.0,East Africa,icr020869,,Leigh Winoweicki,Kidatu,Kid.2.1.Subsoil.Std fine soil
3.0,Tanzania,False,top,353.0,-8.02105045,37.27035141,1.0,East Africa,icr020888,,Leigh Winoweicki,Kidatu,Kid.3.1.Topsoil.Std fine soil
3.0,Tanzania,False,sub,354.0,-8.02105045,37.27035141,1.0,East Africa,icr020889,,Leigh Winoweicki,Kidatu,Kid.3.1.Subsoil.Std fine soil
4.0,Tanzania,False,top,355.0,-8.00080681,37.27236938,1.0,East Africa,icr020908,,Leigh Winoweicki,Kidatu,Kid.4.1.Topsoil.Std fine soil
4.0,Tanzania,False,sub,356.0,-8.00080681,37.27236938,1.0,East Africa,icr020909,,Leigh Winoweicki,Kidatu,Kid.4.1.Subsoil.Std fine soil
5.0,Tanzania,False,top,357.0,-8.07408333,37.29367447,1.0,East Africa,icr020927,,Leigh Winoweicki,Kidatu,Kid.5.1.Topsoil.Std fine soil
5.0,Tanzania,False,sub,359.0,-8.07408333,37.29367447,1.0,East Africa,icr020928,,Leigh Winoweicki,Kidatu,Kid.5.1.Subsoil.Std fine soil
6.0,Tanzania,False,top,360.0,-8.04761505,37.295681,1.0,East Africa,icr020947,,Leigh Winoweicki,Kidatu,Kid.6.1.Topsoil.Std fine soil
6.0,Tanzania,False,sub,361.0,-8.04761505,37.295681,1.0,East Africa,icr020948,,Leigh Winoweicki,Kidatu,Kid.6.1.Subsoil.Std fine soil
7.0,Tanzania,False,top,362.0,-8.02381229,37.29229736,3.0,East Africa,icr020970,,Leigh Winoweicki,Kidatu,Kid.7.3.Topsoil.Std fine soil
7.0,Tanzania,False,sub,363.0,-8.02381229,37.29229736,3.0,East Africa,icr020971,,Leigh Winoweicki,Kidatu,Kid.7.3.Subsoil.Std fine soil
8.0,Tanzania,False,top,364.0,-8.00173283,37.29563904,1.0,East Africa,icr020986,,Leigh Winoweicki,Kidatu,Kid.8.1.Topsoil.Std fine soil
8.0,Tanzania,False,sub,365.0,-8.00173283,37.29563904,1.0,East Africa,icr020987,,Leigh Winoweicki,Kidatu,Kid.8.1.Subsoil.Std fine soil
9.0,Tanzania,False,top,366.0,-8.06768513,37.31658554,1.0,East Africa,icr021004,,Leigh Winoweicki,Kidatu,Kid.9.1.Topsoil.Std fine soil
9.0,Tanzania,False,sub,367.0,-8.06768513,37.31658554,1.0,East Africa,icr021005,,Leigh Winoweicki,Kidatu,Kid.9.1.Subsoil.Std fine soil
10.0,Tanzania,False,top,368.0,-8.0423584,37.31354523,1.0,East Africa,icr021023,,Leigh Winoweicki,Kidatu,Kid.10.1.Topsoil.Std fine soil
