SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr006015,True,0.165,0.18,8.276767834,740.6,0.42700000000000005,985.8,2.022,98.25,177.7,323.3,193.0,50.92,4.6160000000000005,11.31,2.326,7.13,8.509304418
icr006016,True,0.154,0.18,8.208038744,836.0,0.5616,935.0,2.003,125.4,141.6,356.7,210.9,51.28,3.603,10.84,2.028,6.928999999999999,2.787864715
icr006035,True,0.153,0.09,4.4067572760000004,604.4,0.2876,459.7,0.7834,93.92,232.9,168.4,108.0,27.8,11.76,21.99,1.624,6.492000000000001,2.902925735
icr006036,True,0.16699999999999998,0.18,6.7512129839999995,854.0,0.2959,731.1,1.006,117.1,224.3,281.7,115.7,44.61,4.552,15.6,1.617,6.379,17.09976786
icr006055,True,0.218,0.18,17.6672388,863.3,0.4329,2222.0,1.8,199.3,408.6,643.7,172.1,44.25,55.79,15.41,2.737,6.882999999999999,20.42340788
icr006056,True,0.24,0.09,16.13333066,838.0,0.35200000000000004,2125.0,1.975,142.2,198.8,574.6,189.0,57.76,34.26,12.17,1.791,7.039,5.724360592000001
icr006076,True,0.25,0.09,15.50492556,828.6,0.7049,2460.0,1.636,185.4,219.8,301.0,131.2,35.69,27.94,12.22,2.647,7.58,16.904964
icr006077,True,0.162,0.09,14.796555599999998,859.1,0.7309,2203.0,1.694,191.0,197.1,371.0,133.1,48.61,19.81,13.05,3.102,7.465,19.64685056
icr006085,True,0.08199999999999999,0.18,10.18622149,737.8,0.6079,1423.0,1.54,125.3,239.1,283.0,139.1,27.8,15.29,11.89,3.846,6.837000000000001,1.3256212379999999
icr006101,True,0.209,0.18,32.00618704,650.4,1.18,5261.0,1.963,64.6,426.9,538.9,172.9,35.8,8.927,13.62,2.8710000000000004,8.052,23.15896398
icr006102,True,0.174,0.09,23.19320391,507.0,0.5053,3949.0,1.4269999999999998,58.68,183.4,344.3,125.6,30.75,7.957000000000001,45.13,2.83,8.064,10.18829049
icr006152,True,0.092,0.45,4.924882089,719.8,0.4171,483.7,0.6894,166.3,316.9,188.9,34.1,30.99,33.67,11.62,3.048,6.303,1.904618792
icr006153,True,0.10099999999999999,1.17,2.7328932810000004,971.3,0.1197,193.4,0.6026,156.2,185.3,139.7,11.72,31.61,20.5,9.846,1.651,5.087,37.00771057
icr006164,True,0.094,0.45,18.40597791,523.5,1.6340000000000001,2842.0,1.218,131.6,357.2,383.9,101.0,25.23,61.15,18.2,4.498,7.2010000000000005,-33.49367433
icr006165,True,0.099,0.36,10.02337826,668.4,0.5363,1288.0,0.9556,146.7,237.7,343.0,65.51,32.37,15.11,10.74,2.8280000000000003,7.126,-23.39472668
icr006454,True,0.193,0.27,23.22971328,946.0,1.31,3183.0,2.4,58.0,1068.0,543.0,128.0,22.0,15.42,9.0,1.26,7.82,57.73163074
icr006455,True,0.21899999999999997,0.18,31.53045985,946.8,2.478,4679.0,2.375,54.5,1355.0,552.9,130.1,23.13,11.56,9.793,1.285,8.175,83.01799375
icr006474,True,0.071,1.44,3.748265435,1002.0,0.3331,281.8,1.159,217.3,455.3,130.1,21.78,22.91,7.978,15.61,1.38,4.966,41.54223285
icr006492,True,0.08,0.18,8.168950794,822.5,0.7449,1036.0,1.879,69.76,394.8,221.9,112.9,33.43,5.148,10.61,1.9369999999999998,6.614,7.5447596820000005
icr006510,True,0.11599999999999999,0.45,7.669776754,865.2,1.01,812.6,1.4240000000000002,115.5,450.2,272.4,102.3,46.95,9.775,13.46,2.3480000000000003,6.6129999999999995,9.647693575
icr006511,True,0.081,0.77,5.143188043,1290.0,0.5459,448.3,1.047,127.1,430.6,198.6,37.09,36.59,6.08,27.58,1.5390000000000001,5.138,71.04958747
icr006531,True,0.081,0.63,7.257641838,1195.0,0.8279,670.2,2.707,63.92,589.8,274.0,123.6,30.76,1.976,14.1,0.79,6.2989999999999995,57.62503721
icr006550,True,0.091,0.45,12.49196878,1098.0,0.6779,1444.0,2.3609999999999998,101.4,825.3,365.7,143.3,31.95,7.16,9.269,1.4080000000000001,7.039,29.06653106
icr006551,True,0.065,0.54,12.74151599,1167.0,0.6839,1595.0,2.3409999999999997,97.68,731.0,337.2,144.4,25.34,3.8489999999999998,6.204,1.23,6.8839999999999995,48.26573414
icr006571,True,0.114,0.45,7.343783,1098.0,0.599,834.7,1.911,64.68,420.5,232.5,112.1,39.87,3.764,12.55,1.3730000000000002,6.644,14.65607559
icr006587,True,0.14300000000000002,0.59,21.10152411,1386.0,0.7719,2191.0,3.407,114.9,1024.0,880.4,279.1,57.86,6.332999999999999,13.47,2.1319999999999997,6.912000000000001,51.87335427
icr006626,True,0.046,0.27,3.89178932,793.2,0.3215,310.7,0.8042,104.2,376.9,146.0,47.16,38.58,10.45,11.46,1.693,6.06,9.082525757
icr006627,True,0.067,0.58,5.550418518,1189.0,0.4847,501.3,0.9301,116.5,474.2,205.8,38.54,29.97,7.9479999999999995,12.44,1.2919999999999998,5.688,47.10198352
icr006646,True,0.08900000000000001,1.4,4.18797582,1357.0,0.3913,370.4,1.7719999999999998,150.6,424.7,134.2,51.87,32.36,10.57,20.63,3.66,4.921,68.90096959
icr006647,True,0.066,2.21,3.8039184539999997,1495.0,0.4771,302.0,1.696,111.7,333.6,152.4,44.92,41.68,4.74,31.48,1.965,4.677,77.49277204
icr006666,True,0.11699999999999999,1.22,3.4062522669999997,1189.0,0.4483,204.2,2.09,77.0,369.3,148.5,64.53,49.1,5.324,30.6,2.081,4.811,22.28955041
icr006667,True,0.19699999999999998,1.44,3.383296802,1314.0,0.4936,226.6,1.8980000000000001,58.22,297.5,143.1,61.88,70.56,1.994,91.65,1.432,4.553999999999999,94.59611783
icr006684,True,0.07200000000000001,0.54,6.734785769,940.8,0.5776,612.1,1.805,96.45,457.6,289.5,142.8,25.62,5.355,10.18,1.911,6.615,13.02624885
icr006704,True,0.07400000000000001,0.63,5.226246613,1006.0,0.3356,451.3,1.305,118.9,456.1,202.8,131.7,29.26,8.347999999999999,10.22,2.464,6.314,15.98514771
icr006724,True,0.079,0.86,4.700444146000001,1189.0,0.4255,349.2,2.237,152.0,552.9,165.6,48.34,39.51,8.133,21.59,1.264,5.274,50.44780527
icr006725,True,0.065,1.62,3.398361417,1208.0,0.45799999999999996,234.8,1.683,97.09,340.5,144.0,15.26,37.59,4.456,35.99,1.629,4.792,85.59437252
icr006744,True,0.047,0.63,3.2760670139999997,899.0,0.2032,241.5,1.119,132.4,283.9,145.7,58.53,31.82,7.486000000000001,11.61,6.268,5.727,5.115256101
icr006745,True,0.055,1.08,1.897040308,1073.0,0.1316,117.0,0.5436,113.6,200.1,76.7,12.61,38.27,6.129,16.7,1.797,4.945,42.18699037
icr007730,True,0.106,0.48,7.902995213,1226.0,0.9632,829.7,0.7290000000000001,163.8,458.5,300.1,67.68,23.39,11.16,22.49,2.62,4.995,58.87486621
icr007731,True,0.109,1.14,6.376301674,1471.0,1.003,513.1,0.7151,122.2,403.3,313.5,67.33,43.34,5.652,45.53,1.209,4.574,75.79536807
icr007750,True,0.037000000000000005,0.28,7.164436791,875.0,0.3955,993.0,1.085,125.9,109.4,214.8,97.78,33.22,5.901,9.451,2.285,5.934,13.56382764
icr007751,True,0.037000000000000005,0.38,5.3054541230000005,953.0,0.3463,704.0,1.1159999999999999,124.0,57.62,181.9,60.57,31.0,3.238,10.29,0.9890000000000001,5.593999999999999,14.80507574
icr007770,True,0.046,0.67,4.541122963,579.4,0.4538,336.7,0.1575,236.3,42.03,265.9,8.099,127.1,12.1,10.01,0.882,5.462000000000001,18.696400699999998
icr007771,True,0.057999999999999996,0.38,7.456745905,673.7,0.473,772.3,0.1983,217.8,192.8,344.6,22.01,58.47,19.8,13.59,1.808,5.233,31.28626432
icr007790,True,0.057,0.38,9.572012427999999,1535.0,0.6265,971.0,2.035,113.3,395.0,423.4,77.22,47.75,5.206,14.62,1.8459999999999999,5.312,76.40995832
icr007791,True,0.055999999999999994,0.76,7.670719567999999,1749.0,0.7119,694.9,2.17,108.5,275.8,405.6,63.32,31.92,3.699,15.35,1.534,4.966,127.6794722
icr007810,True,0.11199999999999999,0.38,13.96716842,1513.0,1.1440000000000001,1841.0,1.203,123.5,553.9,393.5,65.27,21.5,17.08,15.5,2.551,6.228,56.6107051
icr007811,True,0.12300000000000001,0.19,9.647246728999999,1734.0,0.9594,1056.0,1.2570000000000001,84.35,426.0,373.3,48.7,44.3,3.992,12.72,2.424,6.05,93.56676434
icr007830,True,0.05,0.19,10.32096648,1548.0,0.6862,1281.0,1.0590000000000002,96.45,142.5,397.8,29.78,60.7,3.4530000000000003,11.88,2.4219999999999997,5.7010000000000005,62.44336984
icr007831,True,0.046,0.28,10.80516645,1855.0,0.768,1220.0,1.107,74.36,67.56,516.8,13.41,60.1,1.6159999999999999,9.324,2.9019999999999997,5.809,144.85465530000002
icr007890,True,0.07,0.28,12.84316482,1262.0,0.9394,1693.0,1.08,119.8,584.5,332.0,134.9,32.08,40.34,9.262,2.65,6.468999999999999,50.52413561
icr007891,True,0.08,0.28,13.50554693,1377.0,0.8714,1885.0,0.9395,120.3,402.0,357.2,133.8,23.08,10.33,10.62,2.864,6.228,64.79939574
icr007910,True,0.051,0.38,5.144421202,1003.0,0.2083,490.9,0.8278,131.2,229.2,240.0,49.09,27.66,8.495,9.379,1.5759999999999998,5.517,37.04550901
icr007949,True,0.031,0.29,4.849080182,889.2,0.1152,548.9,0.9507,89.68,49.45,224.1,129.0,28.99,7.093,9.957,0.863,5.558,26.72077399
icr007950,True,0.055999999999999994,0.38,8.501635074,1175.0,0.2782,1055.0,1.8259999999999998,148.8,115.0,337.6,214.9,32.76,8.571,12.89,1.248,5.693,31.26116413
icr007967,True,0.067,0.66,7.958381962000001,1776.0,0.5877,773.0,1.212,88.85,283.9,384.6,55.41,43.42,2.093,13.45,2.438,5.39,129.2080192
icr007968,True,0.061,0.48,12.37852022,1545.0,0.9378,1451.0,1.34,109.8,443.8,460.8,125.1,41.45,5.0569999999999995,11.43,3.73,6.046,63.37668328
icr007987,True,0.063,0.48,10.19579457,1574.0,0.735,1015.0,1.262,106.5,450.8,467.4,64.32,24.16,4.456,10.33,2.329,6.2379999999999995,77.03786738
icr007988,True,0.065,0.57,7.494121197999999,1467.0,0.5529,684.8,1.067,103.3,449.1,328.4,33.39,47.72,12.08,18.19,4.141,6.0120000000000005,87.24972969
icr008007,True,0.095,0.47,9.794590793,1253.0,0.5069,1246.0,1.124,153.7,376.9,290.4,47.71,46.15,145.0,10.91,2.798,5.992999999999999,23.91229593
icr009918,True,0.075,0.2,13.33613263,2119.0,0.3327,1914.0,1.6019999999999999,83.15,352.7,326.6,113.9,37.93,48.63,7.112,5.196000000000001,6.159,231.26593619999997
icr009919,True,0.048,0.25,7.96575251,2129.0,0.2502,1194.0,3.342,149.3,118.9,171.7,156.3,62.71,21.63,7.308,2.971,5.722,245.3976858
icr009938,True,0.048,0.7,3.0382721989999997,2304.0,0.1371,368.4,2.2,90.76,122.6,79.81,144.8,51.32,5.904,6.4510000000000005,1.102,5.619,263.9108398
icr009939,True,0.033,0.85,1.748858817,2363.0,0.1308,200.5,1.841,71.42,50.75,53.95,170.5,39.26,2.15,5.466,1.8719999999999999,5.185,241.49062709999998
icr009958,True,0.040999999999999995,0.75,4.658321215,2384.0,0.1358,589.4,1.52,66.57,171.3,120.0,120.2,64.74,5.746,7.169,1.9509999999999998,5.745,283.4140705
icr009959,True,0.023,1.55,1.340213523,2179.0,0.1054,133.4,1.704,135.0,46.48,37.43,172.6,56.35,1.921,5.428,1.399,5.06,267.5673324
icr009978,True,0.026000000000000002,1.05,2.6898450360000004,2201.0,0.1301,241.9,3.113,91.45,171.6,106.7,344.1,36.72,2.838,7.47,2.147,5.596,245.07647630000002
icr009979,True,0.024,0.65,2.075005337,1990.0,0.0662,133.3,2.543,99.97,135.0,102.2,447.0,50.28,0.633,5.027,1.501,5.322,243.9548013
icr009998,True,0.027000000000000003,2.4,1.941609541,2628.0,0.1132,215.8,1.475,76.35,94.03,44.08,190.4,59.3,10.8,7.143,1.9409999999999998,5.2010000000000005,338.6243895
icr009999,True,0.017,1.8,1.0485085920000001,2431.0,0.0067,124.0,2.015,88.69,23.2,25.31,207.4,36.8,2.423,5.367999999999999,0.8440000000000001,5.2010000000000005,291.08737460000003
icr010018,True,0.021,1.8,1.8182211330000002,2605.0,0.1116,248.2,1.27,84.17,36.63,33.64,106.2,47.27,8.19,6.419,1.314,5.43,352.730821
icr010019,True,0.019,1.9,1.1044842,2444.0,0.1159,109.0,1.6909999999999998,91.57,22.81,28.7,144.1,60.71,2.344,7.622000000000001,1.308,4.9319999999999995,262.9879828
icr010038,True,0.057,0.1,12.25492993,1576.0,0.2289,1786.0,4.566,114.3,334.9,270.9,474.8,52.8,2.965,5.845,3.5,6.5089999999999995,184.05696369999998
icr010039,True,0.034,0.1,7.8773948339999995,1686.0,0.1184,1011.0,2.8810000000000002,108.0,264.0,225.9,455.3,64.46,0.517,6.648,2.699,6.376,223.06348480000003
icr010058,True,0.048,1.6,3.6025568999999997,2630.0,0.1138,471.9,0.9957,60.24,82.64,99.61,119.6,47.95,8.209,7.5889999999999995,1.421,5.43,347.88511669999997
icr010059,True,0.022000000000000002,1.95,1.11777668,2538.0,0.0452,122.9,1.405,92.62,29.41,27.39,107.2,46.39,2.883,4.79,0.8740000000000001,5.069,335.15916880000003
icr010078,True,0.034,1.0,3.625927438,2371.0,0.0638,466.2,2.687,67.42,71.8,106.5,178.8,53.16,11.18,5.9910000000000005,1.569,5.642,305.5717275
icr010079,True,0.023,1.3,1.6073989659999999,2368.0,0.01,189.3,2.8739999999999997,83.89,35.35,43.13,247.8,49.23,4.363,6.105,0.991,5.354,287.70977450000004
icr010098,True,0.045,0.5,5.996395923,2457.0,0.133,871.9,2.1390000000000002,50.6,107.8,138.3,166.1,50.19,3.714,6.063,1.063,5.808,333.86434249999996
icr010099,True,0.039,0.7,2.034969796,2325.0,0.0306,265.2,3.188,74.79,39.38,46.4,312.4,51.7,1.3030000000000002,5.398,1.371,5.3870000000000005,295.27895689999997
icr010118,True,0.038,2.2,3.3748307580000003,2388.0,0.0839,467.4,2.762,102.4,48.28,83.58,298.0,51.43,3.194,6.591,1.337,5.29,346.72528910000005
icr010119,True,0.027999999999999997,1.95,1.253401778,2242.0,0.0044,143.5,3.0269999999999997,119.3,23.27,28.04,331.3,56.27,2.52,5.98,1.444,5.2139999999999995,282.5773574
icr010138,True,0.042,1.25,2.516920082,2295.0,0.0624,251.2,2.061,111.6,151.9,80.68,211.7,47.3,14.04,6.2139999999999995,1.4140000000000001,5.579,264.3704292
icr010139,True,0.033,1.55,5.925644987,1449.0,0.1487,727.0,4.141,117.5,212.5,179.5,686.6,60.65,5.0969999999999995,6.789,4.246,5.165,255.6695264
icr010158,True,0.107,0.15,7.175819661,1557.0,0.2062,1056.0,4.3069999999999995,167.9,145.3,166.9,551.3,33.32,89.33,7.456,3.576,6.229,82.60876157
icr010159,True,0.065,0.05,4.849214538,1594.0,0.1379,612.8,3.367,177.3,151.7,138.0,442.5,59.05,49.52,6.37,2.492,6.1339999999999995,110.8740389
icr010178,True,0.04,0.01,4.7752382639999995,1653.0,0.0679,565.9,2.4330000000000003,154.2,136.6,165.6,480.4,52.39,26.4,6.2010000000000005,3.002,6.287999999999999,116.5055482
icr010179,True,0.04,0.05,3.8758649569999997,1515.0,0.0343,424.0,1.794,136.0,137.2,148.9,410.5,40.11,11.7,5.752999999999999,2.6860000000000004,6.055,135.5070674
icr010199,True,0.03,1.05,2.509634134,2081.0,0.01,279.9,1.709,82.02,96.69,80.32,330.7,45.78,4.506,6.601,1.262,5.559,248.56433019999997
icr010218,True,0.062,0.05,5.623199002000001,1477.0,0.1441,686.6,4.109,120.9,207.9,171.4,674.3,55.65,4.651,6.5329999999999995,3.6210000000000004,6.422999999999999,111.51847859999998
icr010219,True,0.046,0.05,4.8455375489999994,1523.0,0.1794,529.0,3.0869999999999997,117.3,231.2,161.7,612.4,62.76,0.747,5.596,3.4539999999999997,6.263,143.9189437
icr011824,True,0.064,1.344,3.72954074,498.2,0.19699999999999998,549.9,1.044,109.4,102.6,86.55,157.3,0.5399,36.85,5.455,1.5519999999999998,6.886,-13.81225274
icr011825,True,0.055,0.672,3.3143439580000003,593.1,0.1089,452.0,0.7977,89.42,103.6,91.88,110.5,6.91,15.96,6.287000000000001,1.047,6.6610000000000005,-11.44964907
icr011843,True,0.055,1.536,2.655000708,436.1,0.0254,313.9,0.7383,195.2,55.39,84.47,40.9,56.52,5.081,4.98,1.101,6.039,-8.961524906000001
icr011844,True,0.049,1.344,1.969498594,344.3,0.0117,238.4,0.4785,203.8,40.89,57.76,19.65,44.98,4.797,5.433,0.7609999999999999,5.87,-3.115111592
icr011863,True,0.044000000000000004,1.056,3.193113335,331.3,0.0501,448.8,0.6582,188.7,38.84,82.29,56.71,39.03,6.587000000000001,5.127999999999999,0.867,6.232,-11.85721269
icr011864,True,0.048,0.96,4.376429002,381.0,0.0423,658.1,0.8944,210.6,28.98,90.28,57.5,61.11,3.698,4.907,0.484,6.144,9.379524174
icr011881,True,0.036000000000000004,1.248,1.072425039,282.2,0.0394,130.6,0.2042,79.8,42.89,36.72,19.34,1.44,8.097000000000001,3.9010000000000002,0.5870000000000001,6.035,-17.39111241
icr011901,True,0.19399999999999998,0.672,24.42512974,279.6,1.609,3696.0,1.742,106.9,257.1,634.7,118.2,9.69,270.7,12.81,10.61,8.164,-7.001235681
icr011902,True,0.141,0.768,11.41006062,395.3,0.8842,1725.0,1.262,118.1,174.8,278.8,102.9,7.79,118.0,7.53,4.456,7.881,-19.78673199
icr011921,True,0.075,0.768,10.64533867,595.7,0.2139,1629.0,2.275,309.0,92.68,230.2,151.8,82.99,6.379,8.492,0.858,6.313,18.60512122
icr011922,True,0.11599999999999999,1.056,19.53843208,601.5,0.1736,3178.0,2.54,119.9,78.85,286.8,131.3,247.6,2.436,5.313,0.652,7.2379999999999995,11.11308152
icr011941,True,0.078,0.96,4.607565566,401.5,0.0944,613.3,0.7541,142.0,47.91,124.3,43.89,89.99,4.03,6.54,1.1520000000000001,6.705,-7.777440213999999
icr011942,True,0.081,0.672,5.102502219,394.3,0.0644,701.5,0.7965,125.4,38.26,126.6,27.71,103.7,2.399,4.053999999999999,0.907,6.871,-4.62967152
icr011960,True,0.187,0.672,11.71692953,332.1,0.7813,1653.0,1.254,155.1,279.7,295.7,83.97,67.34,109.8,14.72,6.209,7.787999999999999,-13.85296057
icr011978,True,0.042,1.1520000000000001,11.84411562,1270.0,0.3209,1404.0,10.47,103.9,77.62,553.9,381.4,11.02,0.485,7.104,0.8490000000000001,6.307,96.83428247
icr011979,True,0.048,1.248,11.59519535,1227.0,0.2188,1298.0,10.28,90.13,50.47,588.9,298.7,25.11,0.01,5.381,0.402,6.184,140.53026599999998
icr011990,True,0.303,0.8640000000000001,22.98228742,724.7,0.3028,3562.0,3.1830000000000003,236.5,86.07,431.6,127.5,318.6,12.04,9.152000000000001,1.43,7.5360000000000005,10.08098235
icr011991,True,0.401,0.28800000000000003,40.75451111,400.9,0.5746,6639.0,3.335,67.21,71.14,484.6,163.4,775.7,6.2,9.939,1.008,8.586,63.89929915
icr012008,True,0.215,0.672,11.96085654,345.1,0.5067,1985.0,1.4069999999999998,127.4,102.1,179.3,102.8,67.37,22.88,7.037000000000001,1.744,7.803999999999999,-6.919510298
icr012009,True,0.235,0.5760000000000001,28.20661474,397.8,0.6879,5050.0,2.353,62.97,72.24,299.2,139.9,68.8,4.8839999999999995,8.443999999999999,1.084,8.007,10.28735037
icr012027,True,0.20199999999999999,0.768,20.69771197,449.1,0.7676,3245.0,2.884,80.13,567.2,346.9,215.8,35.68,135.2,14.33,2.491,8.07,4.35418462
icr012028,True,0.24600000000000002,0.192,44.80869534,241.8,0.8537,8049.0,2.694,30.75,240.5,422.7,292.2,104.7,27.49,18.55,1.449,8.189,29.84786922
icr012043,True,0.036000000000000004,1.056,7.7315921670000005,1215.0,0.3943,912.6,3.395,86.22,251.6,297.9,93.2,14.52,4.224,13.0,1.8030000000000002,6.016,79.33588455
icr012044,True,0.055,3.168,6.568562491000001,1410.0,0.2623,783.8,3.1889999999999996,65.63,118.4,256.9,43.47,51.43,1.5230000000000001,19.43,0.7859999999999999,4.947,125.93528880000001
icr012063,True,0.198,0.96,51.80634096,1111.0,0.6395,7480.0,4.471,125.6,347.7,1596.0,276.4,75.21,1.676,5.652,1.2209999999999999,7.744,97.98167593
icr012064,True,0.25,0.96,51.56474837,1029.0,0.6785,7214.0,4.236000000000001,115.4,278.5,1656.0,251.4,252.2,0.688,5.225,0.775,8.09,96.39331718
icr012083,True,0.115,0.8640000000000001,9.387258862000001,372.7,0.3324,1362.0,1.1740000000000002,101.8,218.7,232.9,130.9,21.42,173.1,8.072000000000001,36.51,7.285,114.0064106
icr012084,True,0.098,0.96,8.205698759,390.4,0.3344,1158.0,0.6522,118.2,242.4,208.7,83.36,16.32,228.1,8.038,17.05,7.138,-17.10668286
icr012087,True,0.076,1.1520000000000001,8.090453287999999,830.5,0.2895,969.1,3.335,85.62,127.5,337.9,290.0,29.05,3.202,7.871,1.514,6.556,33.06946536
icr012088,True,0.055,1.1520000000000001,10.15817161,1138.0,0.3095,1212.0,3.917,97.65,67.24,455.6,252.0,37.01,0.664,8.771,1.5190000000000001,6.55,90.98460190000002
icr020848,True,0.052000000000000005,0.28800000000000003,2.138552535,242.3,0.174,289.6,0.4083,289.6,51.55,55.12,24.95,23.73,5.079,4.302,1.145,5.867999999999999,-23.65391505
icr020849,True,0.039,0.28800000000000003,1.315930312,178.9,0.0878,170.6,0.3122,127.9,26.41,34.7,5.9110000000000005,24.98,4.232,2.654,1.589,6.047000000000001,-41.25922166
icr020868,True,0.073,0.096,2.593682463,154.5,0.1243,373.0,0.3173,104.2,33.62,69.57,19.46,15.58,19.31,2.1,1.561,6.382999999999999,-5.337384105
icr020869,True,0.046,0.096,1.198995339,137.8,0.0842,148.7,0.1986,68.83,31.99,35.43,4.855,18.6,7.473,2.318,1.179,6.379,37.50756997
icr020888,True,0.065,0.48,2.175167477,414.2,0.1509,268.5,1.035,262.5,63.84,64.83,8.578,30.73,4.954,3.1489999999999996,1.1079999999999999,5.386,88.10678037
icr020889,True,0.038,1.1520000000000001,2.65369598,680.7,0.1132,330.3,1.682,133.3,41.56,88.35,7.481,38.12,1.985,2.62,0.7391,5.146,137.4885108
icr020908,True,0.087,0.28800000000000003,7.179758217000001,629.2,0.3062,1069.0,1.061,128.2,226.9,137.7,193.6,26.78,12.83,4.734,1.8659999999999999,6.638,12.64178238
icr020909,True,0.059000000000000004,0.28800000000000003,3.149613842,813.6,0.1148,431.9,0.8351,109.8,73.94,83.57,150.9,25.38,10.03,3.66,1.35,6.136,-53.92889350000001
icr020927,True,0.08900000000000001,0.192,5.7522160389999994,376.5,0.1798,875.6,1.386,151.3,81.67,131.3,190.6,18.45,15.6,3.475,1.3359999999999999,6.627999999999999,-84.06656834
icr020928,True,0.055999999999999994,0.192,3.268185972,378.7,0.0351,477.9,1.6219999999999999,121.9,49.02,79.23,154.6,22.66,3.1069999999999998,4.099,0.7352,6.461,-56.98704207
icr020947,True,0.076,0.28800000000000003,2.538276669,342.5,0.1122,343.7,0.4998,260.7,67.29,69.31,42.03,17.22,12.17,4.445,0.8304,5.723,-36.79494589
icr020948,True,0.036000000000000004,0.384,1.8374017040000001,348.1,0.0626,235.4,0.4974,119.5,35.3,51.65,12.64,32.95,3.772,4.248,1.095,5.968,-85.99939389
icr020970,True,0.075,0.384,6.038795259,307.6,0.2121,942.7,0.5509,108.5,76.54,126.3,108.0,19.72,30.59,3.7969999999999997,1.8430000000000002,6.636,-11.21729694
icr020971,True,0.055,0.28800000000000003,2.6601797680000003,370.0,0.0803,406.6,0.3718,94.04,43.99,51.88,73.05,19.76,15.92,2.2880000000000003,0.9822,6.477,-48.54372531
